Name,Major
Albany Technical College,Accounting Technology/Technician and Bookkeeping
Albany Technical College,Administrative Assistant and Secretarial Science
Albany Technical College,"Allied Health Diagnostic, Intervention, and Treatment Professions"
Albany Technical College,Applied Horticulture/Horticulture Operations
Albany Technical College,Autobody/Collision and Repair Technology/Technician
Albany Technical College,Automobile/Automotive Mechanics Technology/Technician
Albany Technical College,Banking and Financial Support Services
Albany Technical College,Building/Property Maintenance
Albany Technical College,Business Administration and Management
Albany Technical College,CAD/CADD Drafting and/or Design Technology/Technician
Albany Technical College,Carpentry/Carpenter
Albany Technical College,Child Care Provider/Assistant
Albany Technical College,Civil Engineering Technology/Technician
Albany Technical College,Commercial Photography
Albany Technical College,Commercial and Advertising Art
Albany Technical College,Communications Systems Installation and Repair Technology
Albany Technical College,Computer Engineering Technology/Technician
Albany Technical College,Computer Installation and Repair Technology/Technician
Albany Technical College,Computer Software and Media Applications
Albany Technical College,Computer Systems Networking and Telecommunications
Albany Technical College,Computer and Information Sciences and Support Services
Albany Technical College,Computer and Information Systems Security/Information Assurance
Albany Technical College,Construction Management
Albany Technical College,"Cosmetology, Barber/Styling, and Nail Instructor"
Albany Technical College,Cosmetology/Cosmetologist
Albany Technical College,Criminal Justice/Safety Studies
Albany Technical College,Culinary Arts/Chef Training
Albany Technical College,Customer Service Support/Call Center/Teleservice Operation
Albany Technical College,Data Entry/Microcomputer Applications
Albany Technical College,Data Processing and Data Processing Technology/Technician
Albany Technical College,Dental Assisting/Assistant
Albany Technical College,Design and Visual Communications
Albany Technical College,Dietetic Technician
Albany Technical College,Drafting and Design Technology/Technician
Albany Technical College,Early Childhood Education and Teaching
Albany Technical College,"Electrical, Electronic and Communications Engineering Technology/Technician"
Albany Technical College,Electrical/Electronics Equipment Installation and Repair
Albany Technical College,Electrician
Albany Technical College,Electromechanical Technology/Electromechanical Engineering Technology
Albany Technical College,Emergency Medical Technology/Technician (EMT Paramedic)
Albany Technical College,Entrepreneurship/Entrepreneurial Studies
Albany Technical College,Fire Prevention and Safety Technology/Technician
Albany Technical College,Fire Science/Fire-fighting
Albany Technical College,Fire Services Administration
Albany Technical College,Floriculture/Floristry Operations and Management
Albany Technical College,Food Preparation/Professional Cooking/Kitchen Assistant
Albany Technical College,Graphic Design
Albany Technical College,Graphic and Printing Equipment Operator Production
Albany Technical College,Health Information/Medical Records Technology/Technician
Albany Technical College,"Heating, air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
Albany Technical College,Heavy Equipment Maintenance Technology/Technician
Albany Technical College,Hospitality Administration/Management
Albany Technical College,Industrial Mechanics and Maintenance Technology
Albany Technical College,Institutional Food Workers
Albany Technical College,Landscaping and Groundskeeping
Albany Technical College,Licensed Practical/Vocational Nurse Training
Albany Technical College,"Logistics, Materials, and Supply Chain Management"
Albany Technical College,Manufacturing Engineering Technology/Technician
Albany Technical College,Marketing/Marketing Management
Albany Technical College,Mason/Masonry
Albany Technical College,Mechanic and Repair Technologies/Technicians
Albany Technical College,Medical Insurance Coding Specialist/Coder
